PAY ITEM,"CODED PAY ITEMS FOR THE Jan 17, 2020 LETTING DESCRIPTION",UNIT,ABBREVIATION,S
M542I260,"PIPE CULVERTS, CLASS C, TYPE 2   1050MM",METER  ,P CUL CL C 2   1050,
M542I265,"PIPE CULVERTS, CLASS C, TYPE 2   1200MM",METER  ,P CUL CL C 2   1200,
M542I270,"PIPE CULVERTS, CLASS C, TYPE 2   1350MM",METER  ,P CUL CL C 2   1350,
M542I275,"PIPE CULVERTS, CLASS C, TYPE 2   1500MM",METER  ,P CUL CL C 2   1500,
M542I280,"PIPE CULVERTS, CLASS C, TYPE 2   1650MM",METER  ,P CUL CL C 2   1650,
M542I285,"PIPE CULVERTS, CLASS C, TYPE 2   1800MM",METER  ,P CUL CL C 2   1800,
M542I290,"PIPE CULVERTS, CLASS C, TYPE 2   1950MM",METER  ,P CUL CL C 2   1950,
M542I295,"PIPE CULVERTS, CLASS C, TYPE 2   2100MM",METER  ,P CUL CL C 2   2100,
M542I300,"PIPE CULVERTS, CLASS C, TYPE 2   2250MM",METER  ,P CUL CL C 2   2250,
M542I305,"PIPE CULVERTS, CLASS C, TYPE 2   2400MM",METER  ,P CUL CL C 2   2400,
M542I310,"PIPE CULVERTS, CLASS C, TYPE 2   2550MM",METER  ,P CUL CL C 2   2550,
M542I315,"PIPE CULVERTS, CLASS C, TYPE 2   2700MM",METER  ,P CUL CL C 2   2700,
M542I410,"PIPE CULVERTS, CLASS D, TYPE 2    200MM",METER  ,P CUL CL D 2    200,
M542I415,"PIPE CULVERTS, CLASS D, TYPE 2    250MM",METER  ,P CUL CL D 2    250,
M542I420,"PIPE CULVERTS, CLASS D, TYPE 2    300MM",METER  ,P CUL CL D 2    300,
M542I425,"PIPE CULVERTS, CLASS D, TYPE 2    375MM",METER  ,P CUL CL D 2    375,
M542I430,"PIPE CULVERTS, CLASS D, TYPE 2    450MM",METER  ,P CUL CL D 2    450,
M542I435,"PIPE CULVERTS, CLASS D, TYPE 2    525MM",METER  ,P CUL CL D 2    525,
M542I440,"PIPE CULVERTS, CLASS D, TYPE 2    600MM",METER  ,P CUL CL D 2    600,
M542I445,"PIPE CULVERTS, CLASS D, TYPE 2    675MM",METER  ,P CUL CL D 2    675,
M542I450,"PIPE CULVERTS, CLASS D, TYPE 2    750MM",METER  ,P CUL CL D 2    750,
M542I455,"PIPE CULVERTS, CLASS D, TYPE 2    900MM",METER  ,P CUL CL D 2    900,
M542I460,"PIPE CULVERTS, CLASS D, TYPE 2   1050MM",METER  ,P CUL CL D 2   1050,
M542I465,"PIPE CULVERTS, CLASS D, TYPE 2   1200MM",METER  ,P CUL CL D 2   1200,
M542I470,"PIPE CULVERTS, CLASS D, TYPE 2   1350MM",METER  ,P CUL CL D 2   1350,
M542I475,"PIPE CULVERTS, CLASS D, TYPE 2   1500MM",METER  ,P CUL CL D 2   1500,
M542I480,"PIPE CULVERTS, CLASS D, TYPE 2   1650MM",METER  ,P CUL CL D 2   1650,
M542I485,"PIPE CULVERTS, CLASS D, TYPE 2   1800MM",METER  ,P CUL CL D 2   1800,
M542I490,"PIPE CULVERTS, CLASS D, TYPE 2   1950MM",METER  ,P CUL CL D 2   1950,
M542I495,"PIPE CULVERTS, CLASS D, TYPE 2   2100MM",METER  ,P CUL CL D 2   2100,
M542I500,"PIPE CULVERTS, CLASS D, TYPE 2   2250MM",METER  ,P CUL CL D 2   2250,
M542I505,"PIPE CULVERTS, CLASS D, TYPE 2   2400MM",METER  ,P CUL CL D 2   2400,
M542I510,"PIPE CULVERTS, CLASS D, TYPE 2   2550MM",METER  ,P CUL CL D 2   2550,
M542I515,"PIPE CULVERTS, CLASS D, TYPE 2   2700MM",METER  ,P CUL CL D 2   2700,
M542J010,"PIPE CULVERTS, CLASS A, TYPE 3    200MM",METER  ,P CUL CL A 3    200,
M542J015,"PIPE CULVERTS, CLASS A, TYPE 3    250MM",METER  ,P CUL CL A 3    250,
M542J020,"PIPE CULVERTS, CLASS A, TYPE 3    300MM",METER  ,P CUL CL A 3    300,
M542J025,"PIPE CULVERTS, CLASS A, TYPE 3    375MM",METER  ,P CUL CL A 3    375,
M542J030,"PIPE CULVERTS, CLASS A, TYPE 3    450MM",METER  ,P CUL CL A 3    450,
M542J035,"PIPE CULVERTS, CLASS A, TYPE 3    525MM",METER  ,P CUL CL A 3    525,
M542J040,"PIPE CULVERTS, CLASS A, TYPE 3    600MM",METER  ,P CUL CL A 3    600,
M542J045,"PIPE CULVERTS, CLASS A, TYPE 3    675MM",METER  ,P CUL CL A 3    675,
M542J050,"PIPE CULVERTS, CLASS A, TYPE 3    750MM",METER  ,P CUL CL A 3    750,
M542J055,"PIPE CULVERTS, CLASS A, TYPE 3    900MM",METER  ,P CUL CL A 3    900,
M542J060,"PIPE CULVERTS, CLASS A, TYPE 3   1050MM",METER  ,P CUL CL A 3   1050,
M542J065,"PIPE CULVERTS, CLASS A, TYPE 3   1200MM",METER  ,P CUL CL A 3   1200,
M542J070,"PIPE CULVERTS, CLASS A, TYPE 3   1350MM",METER  ,P CUL CL A 3   1350,
M542J075,"PIPE CULVERTS, CLASS A, TYPE 3   1500MM",METER  ,P CUL CL A 3   1500,
M542J080,"PIPE CULVERTS, CLASS A, TYPE 3   1650MM",METER  ,P CUL CL A 3   1650,
M542J085,"PIPE CULVERTS, CLASS A, TYPE 3   1800MM",METER  ,P CUL CL A 3   1800,
M542J090,"PIPE CULVERTS, CLASS A, TYPE 3   1950MM",METER  ,P CUL CL A 3   1950,
M542J095,"PIPE CULVERTS, CLASS A, TYPE 3   2100MM",METER  ,P CUL CL A 3   2100,
M542J100,"PIPE CULVERTS, CLASS A, TYPE 3   2250MM",METER  ,P CUL CL A 3   2250,
M542J105,"PIPE CULVERTS, CLASS A, TYPE 3   2400MM",METER  ,P CUL CL A 3   2400,
M542J110,"PIPE CULVERTS, CLASS A, TYPE 3   2550MM",METER  ,P CUL CL A 3   2550,
M542J115,"PIPE CULVERTS, CLASS A, TYPE 3   2700MM",METER  ,P CUL CL A 3   2700,
M542J210,"PIPE CULVERTS, CLASS C, TYPE 3    200MM",METER  ,P CUL CL C 3    200,
M542J215,"PIPE CULVERTS, CLASS C, TYPE 3    250MM",METER  ,P CUL CL C 3    250,
M542J220,"PIPE CULVERTS, CLASS C, TYPE 3    300MM",METER  ,P CUL CL C 3    300,
M542J225,"PIPE CULVERTS, CLASS C, TYPE 3    375MM",METER  ,P CUL CL C 3    375,
M542J230,"PIPE CULVERTS, CLASS C, TYPE 3    450MM",METER  ,P CUL CL C 3    450,
M542J235,"PIPE CULVERTS, CLASS C, TYPE 3    525MM",METER  ,P CUL CL C 3    525,
M542J240,"PIPE CULVERTS, CLASS C, TYPE 3    600MM",METER  ,P CUL CL C 3    600,
M542J245,"PIPE CULVERTS, CLASS C, TYPE 3    675MM",METER  ,P CUL CL C 3    675,
M542J250,"PIPE CULVERTS, CLASS C, TYPE 3    750MM",METER  ,P CUL CL C 3    750,
M542J255,"PIPE CULVERTS, CLASS C, TYPE 3    900MM",METER  ,P CUL CL C 3    900,
M542J260,"PIPE CULVERTS, CLASS C, TYPE 3   1050MM",METER  ,P CUL CL C 3   1050,
M542J265,"PIPE CULVERTS, CLASS C, TYPE 3   1200MM",METER  ,P CUL CL C 3   1200,
M542J270,"PIPE CULVERTS, CLASS C, TYPE 3   1350MM",METER  ,P CUL CL C 3   1350,
M542J275,"PIPE CULVERTS, CLASS C, TYPE 3   1500MM",METER  ,P CUL CL C 3   1500,
M542J280,"PIPE CULVERTS, CLASS C, TYPE 3   1650MM",METER  ,P CUL CL C 3   1650,
M542J285,"PIPE CULVERTS, CLASS C, TYPE 3   1800MM",METER  ,P CUL CL C 3   1800,
M542J290,"PIPE CULVERTS, CLASS C, TYPE 3   1950MM",METER  ,P CUL CL C 3   1950,
M542J295,"PIPE CULVERTS, CLASS C, TYPE 3   2100MM",METER  ,P CUL CL C 3   2100,
M542J300,"PIPE CULVERTS, CLASS C, TYPE 3   2250MM",METER  ,P CUL CL C 3   2250,
M542J305,"PIPE CULVERTS, CLASS C, TYPE 3   2400MM",METER  ,P CUL CL C 3   2400,
M542J310,"PIPE CULVERTS, CLASS C, TYPE 3   2550MM",METER  ,P CUL CL C 3   2550,
M542J315,"PIPE CULVERTS, CLASS C, TYPE 3   2700MM",METER  ,P CUL CL C 3   2700,
M542J410,"PIPE CULVERTS, CLASS D, TYPE 3    200MM",METER  ,P CUL CL D 3    200,
M542J415,"PIPE CULVERTS, CLASS D, TYPE 3    250MM",METER  ,P CUL CL D 3    250,
M542J420,"PIPE CULVERTS, CLASS D, TYPE 3    300MM",METER  ,P CUL CL D 3    300,
M542J425,"PIPE CULVERTS, CLASS D, TYPE 3    375MM",METER  ,P CUL CL D 3    375,
M542J430,"PIPE CULVERTS, CLASS D, TYPE 3    450MM",METER  ,P CUL CL D 3    450,
M542J435,"PIPE CULVERTS, CLASS D, TYPE 3    525MM",METER  ,P CUL CL D 3    525,
M542J440,"PIPE CULVERTS, CLASS D, TYPE 3    600MM",METER  ,P CUL CL D 3    600,
M542J445,"PIPE CULVERTS, CLASS D, TYPE 3    675MM",METER  ,P CUL CL D 3    675,
M542J450,"PIPE CULVERTS, CLASS D, TYPE 3    750MM",METER  ,P CUL CL D 3    750,
M542J455,"PIPE CULVERTS, CLASS D, TYPE 3    900MM",METER  ,P CUL CL D 3    900,
M542J460,"PIPE CULVERTS, CLASS D, TYPE 3   1050MM",METER  ,P CUL CL D 3   1050,
M542J465,"PIPE CULVERTS, CLASS D, TYPE 3   1200MM",METER  ,P CUL CL D 3   1200,
M542J470,"PIPE CULVERTS, CLASS D, TYPE 3   1350MM",METER  ,P CUL CL D 3   1350,
M542J475,"PIPE CULVERTS, CLASS D, TYPE 3   1500MM",METER  ,P CUL CL D 3   1500,
M542J480,"PIPE CULVERTS, CLASS D, TYPE 3   1650MM",METER  ,P CUL CL D 3   1650,
M542J485,"PIPE CULVERTS, CLASS D, TYPE 3   1800MM",METER  ,P CUL CL D 3   1800,
M542J490,"PIPE CULVERTS, CLASS D, TYPE 3   1950MM",METER  ,P CUL CL D 3   1950,
M542J495,"PIPE CULVERTS, CLASS D, TYPE 3   2100MM",METER  ,P CUL CL D 3   2100,
M542J500,"PIPE CULVERTS, CLASS D, TYPE 3   2250MM",METER  ,P CUL CL D 3   2250,
M542J505,"PIPE CULVERTS, CLASS D, TYPE 3   2400MM",METER  ,P CUL CL D 3   2400,
M542J510,"PIPE CULVERTS, CLASS D, TYPE 3   2550MM",METER  ,P CUL CL D 3   2550,
M542J515,"PIPE CULVERTS, CLASS D, TYPE 3   2700MM",METER  ,P CUL CL D 3   2700,
M542K010,"PIPE CULVERTS, CLASS A, TYPE 4    200MM",METER  ,P CUL CL A 4    200,
M542K015,"PIPE CULVERTS, CLASS A, TYPE 4    250MM",METER  ,P CUL CL A 4    250,
M542K020,"PIPE CULVERTS, CLASS A, TYPE 4    300MM",METER  ,P CUL CL A 4    300,
M542K025,"PIPE CULVERTS, CLASS A, TYPE 4    375MM",METER  ,P CUL CL A 4    375,
M542K030,"PIPE CULVERTS, CLASS A, TYPE 4    450MM",METER  ,P CUL CL A 4    450,
M542K035,"PIPE CULVERTS, CLASS A, TYPE 4    525MM",METER  ,P CUL CL A 4    525,
M542K040,"PIPE CULVERTS, CLASS A, TYPE 4    600MM",METER  ,P CUL CL A 4    600,
M542K045,"PIPE CULVERTS, CLASS A, TYPE 4    675MM",METER  ,P CUL CL A 4    675,
M542K050,"PIPE CULVERTS, CLASS A, TYPE 4    750MM",METER  ,P CUL CL A 4    750,
M542K055,"PIPE CULVERTS, CLASS A, TYPE 4    900MM",METER  ,P CUL CL A 4    900,
M542K060,"PIPE CULVERTS, CLASS A, TYPE 4   1050MM",METER  ,P CUL CL A 4   1050,
M542K065,"PIPE CULVERTS, CLASS A, TYPE 4   1200MM",METER  ,P CUL CL A 4   1200,
M542K070,"PIPE CULVERTS, CLASS A, TYPE 4   1350MM",METER  ,P CUL CL A 4   1350,
M542K075,"PIPE CULVERTS, CLASS A, TYPE 4   1500MM",METER  ,P CUL CL A 4   1500,
M542K080,"PIPE CULVERTS, CLASS A, TYPE 4   1650MM",METER  ,P CUL CL A 4   1650,
M542K085,"PIPE CULVERTS, CLASS A, TYPE 4   1800MM",METER  ,P CUL CL A 4   1800,
M542K090,"PIPE CULVERTS, CLASS A, TYPE 4   1950MM",METER  ,P CUL CL A 4   1950,
M542K095,"PIPE CULVERTS, CLASS A, TYPE 4   2100MM",METER  ,P CUL CL A 4   2100,
M542K100,"PIPE CULVERTS, CLASS A, TYPE 4   2250MM",METER  ,P CUL CL A 4   2250,
M542K105,"PIPE CULVERTS, CLASS A, TYPE 4   2400MM",METER  ,P CUL CL A 4   2400,
M542K110,"PIPE CULVERTS, CLASS A, TYPE 4   2550MM",METER  ,P CUL CL A 4   2550,
M542K115,"PIPE CULVERTS, CLASS A, TYPE 4   2700MM",METER  ,P CUL CL A 4   2700,
M542K240,"PIPE CULVERTS, CLASS C, TYPE 4    600MM",METER  ,P CUL CL C 4    600,
M542K410,"PIPE CULVERTS, CLASS D, TYPE 4    200MM",METER  ,P CUL CL D 4    200,
M542K415,"PIPE CULVERTS, CLASS D, TYPE 4    250MM",METER  ,P CUL CL D 4    250,
M542K420,"PIPE CULVERTS, CLASS D, TYPE 4    300MM",METER  ,P CUL CL D 4    300,
M542K425,"PIPE CULVERTS, CLASS D, TYPE 4    375MM",METER  ,P CUL CL D 4    375,
M542K430,"PIPE CULVERTS, CLASS D, TYPE 4    450MM",METER  ,P CUL CL D 4    450,
M542K435,"PIPE CULVERTS, CLASS D, TYPE 4    525MM",METER  ,P CUL CL D 4    525,
M542K450,"PIPE CULVERTS, CLASS D, TYPE 4    750MM",METER  ,P CUL CL D 4    750,
M542K455,"PIPE CULVERTS, CLASS D, TYPE 4    900MM",METER  ,P CUL CL D 4    900,
M542L045,"PIPE CULVERTS, CLASS A, TYPE 5    675MM",METER  ,P CUL CL A 5    675,
M542L050,"PIPE CULVERTS, CLASS A, TYPE 5    750MM",METER  ,P CUL CL A 5    750,
M542L055,"PIPE CULVERTS, CLASS A, TYPE 5    900MM",METER  ,P CUL CL A 5    900,
M542L060,"PIPE CULVERTS, CLASS A, TYPE 5   1050MM",METER  ,P CUL CL A 5   1050,
M542L065,"PIPE CULVERTS, CLASS A, TYPE 5   1200MM",METER  ,P CUL CL A 5   1200,
M542L070,"PIPE CULVERTS, CLASS A, TYPE 5   1350MM",METER  ,P CUL CL A 5   1350,
M542L075,"PIPE CULVERTS, CLASS A, TYPE 5   1500MM",METER  ,P CUL CL A 5   1500,
M542L080,"PIPE CULVERTS, CLASS A, TYPE 5   1650MM",METER  ,P CUL CL A 5   1650,
M542L455,"PIPE CULVERTS, CLASS D, TYPE 5    900MM",METER  ,P CUL CL D 5    900,
M542M040,"PIPE CULVERTS, CLASS A, TYPE 6    600MM",METER  ,P CUL CL A 6    600,
M542M045,"PIPE CULVERTS, CLASS A, TYPE 6    675MM",METER  ,P CUL CL A 6    675,
M542M050,"PIPE CULVERTS, CLASS A, TYPE 6    750MM",METER  ,P CUL CL A 6    750,
M542M055,"PIPE CULVERTS, CLASS A, TYPE 6    900MM",METER  ,P CUL CL A 6    900,
M542M060,"PIPE CULVERTS, CLASS A, TYPE 6   1050MM",METER  ,P CUL CL A 6   1050,
M542M065,"PIPE CULVERTS, CLASS A, TYPE 6   1200MM",METER  ,P CUL CL A 6   1200,
M542M070,"PIPE CULVERTS, CLASS A, TYPE 6   1350MM",METER  ,P CUL CL A 6   1350,
M542M075,"PIPE CULVERTS, CLASS A, TYPE 6   1500MM",METER  ,P CUL CL A 6   1500,
M542M080,"PIPE CULVERTS, CLASS A, TYPE 6   1650MM",METER  ,P CUL CL A 6   1650,
M542M085,"PIPE CULVERTS, CLASS A, TYPE 6   1800MM",METER  ,P CUL CL A 6   1800,
M542M090,"PIPE CULVERTS, CLASS A, TYPE 6   1950MM",METER  ,P CUL CL A 6   1950,
M542M095,"PIPE CULVERTS, CLASS A, TYPE 6   2100MM",METER  ,P CUL CL A 6   2100,
M542M240,"PIPE CULVERTS, CLASS C, TYPE 6    600MM",METER  ,P CUL CL C 6    600,
M542N060,"PIPE CULVERTS, CLASS A, TYPE 7   1050MM",METER  ,P CUL CL A 7   1050,
M542N065,"PIPE CULVERTS, CLASS A, TYPE 7   1200MM",METER  ,P CUL CL A 7   1200,
M542N075,"PIPE CULVERTS, CLASS A, TYPE 7   1500MM",METER  ,P CUL CL A 7   1500,
M542Q015,"PIPE CULVERTS, CLASS A,    300MM (JACKED)",METER  ,P CUL CL A   300 JKD,
M542Q020,"PIPE CULVERTS, CLASS A,    375MM (JACKED)",METER  ,P CUL CL A   375 JKD,
M542Q025,"PIPE CULVERTS, CLASS A,    450MM (JACKED)",METER  ,P CUL CL A   450 JKD,
M542Q030,"PIPE CULVERTS, CLASS A,    525MM (JACKED)",METER  ,P CUL CL A   525 JKD,
M542Q035,"PIPE CULVERTS, CLASS A,    600MM (JACKED)",METER  ,P CUL CL A   600 JKD,
M542Q040,"PIPE CULVERTS, CLASS A,    750MM (JACKED)",METER  ,P CUL CL A   750 JKD,
M542Q045,"PIPE CULVERTS, CLASS A,    900MM (JACKED)",METER  ,P CUL CL A   900 JKD,
M542Q050,"PIPE CULVERTS, CLASS A,   1050MM (JACKED)",METER  ,P CUL CL A  1050 JKD,
M542Q055,"PIPE CULVERTS, CLASS A,   1200MM (JACKED)",METER  ,P CUL CL A  1200 JKD,
M542Q060,"PIPE CULVERTS, CLASS A,   1350MM (JACKED)",METER  ,P CUL CL A  1350 JKD,
M542Q065,"PIPE CULVERTS, CLASS A,   1500MM (JACKED)",METER  ,P CUL CL A  1500 JKD,
M542Q070,"PIPE CULVERTS, CLASS A,   1650MM (JACKED)",METER  ,P CUL CL A  1650 JKD,
M542Q075,"PIPE CULVERTS, CLASS A,   1800MM (JACKED)",METER  ,P CUL CL A  1800 JKD,
M542Q115,"PIPE CULVERTS, CLASS C,    300MM (JACKED)",METER  ,P CUL CL C   300 JKD,
M542Q120,"PIPE CULVERTS, CLASS C,    375MM (JACKED)",METER  ,P CUL CL C   375 JKD,
M542Q125,"PIPE CULVERTS, CLASS C,    450MM (JACKED)",METER  ,P CUL CL C   450 JKD,
M542Q130,"PIPE CULVERTS, CLASS C,    525MM (JACKED)",METER  ,P CUL CL C   525 JKD,
M542Q135,"PIPE CULVERTS, CLASS C,    600MM (JACKED)",METER  ,P CUL CL C   600 JKD,
M542Q140,"PIPE CULVERTS, CLASS C,    750MM (JACKED)",METER  ,P CUL CL C   750 JKD,
M542Q145,"PIPE CULVERTS, CLASS C,    900MM (JACKED)",METER  ,P CUL CL C   900 JKD,
M542Q150,"PIPE CULVERTS, CLASS C,   1050MM (JACKED)",METER  ,P CUL CL C  1050 JKD,
M542Q155,"PIPE CULVERTS, CLASS C,   1200MM (JACKED)",METER  ,P CUL CL C  1200 JKD,
M542Q160,"PIPE CULVERTS, CLASS C,   1350MM (JACKED)",METER  ,P CUL CL C  1350 JKD,
M542Q165,"PIPE CULVERTS, CLASS C,   1500MM (JACKED)",METER  ,P CUL CL C  1500 JKD,
M542Q170,"PIPE CULVERTS, CLASS C,   1650MM (JACKED)",METER  ,P CUL CL C  1650 JKD,
M542Q175,"PIPE CULVERTS, CLASS C,   1800MM (JACKED)",METER  ,P CUL CL C  1800 JKD,
M542Q215,"PIPE CULVERTS, CLASS D,    300MM (JACKED)",METER  ,P CUL CL D   300 JKD,
M542S015,"PIPE CULVERTS, SPECIAL    300MM",METER  ,P CUL SPEC    300,
M542S020,"PIPE CULVERTS, SPECIAL    375MM",METER  ,P CUL SPEC    375,
M542S025,"PIPE CULVERTS, SPECIAL    450MM",METER  ,P CUL SPEC    450,
M542S030,"PIPE CULVERTS, SPECIAL    525MM",METER  ,P CUL SPEC    525,
M542S035,"PIPE CULVERTS, SPECIAL    600MM",METER  ,P CUL SPEC    600,
M542S040,"PIPE CULVERTS, SPECIAL    675MM",METER  ,P CUL SPEC    675,
M542S045,"PIPE CULVERTS, SPECIAL    750MM",METER  ,P CUL SPEC    750,
M542S050,"PIPE CULVERTS, SPECIAL    900MM",METER  ,P CUL SPEC    900,
M542S055,"PIPE CULVERTS, SPECIAL   1050MM",METER  ,P CUL SPEC   1050,
M542S060,"PIPE CULVERTS, SPECIAL   1200MM",METER  ,P CUL SPEC   1200,
M542S065,"PIPE CULVERTS, SPECIAL   1350MM",METER  ,P CUL SPEC   1350,
M542S070,"PIPE CULVERTS, SPECIAL   1500MM",METER  ,P CUL SPEC   1500,
M542S075,"PIPE CULVERTS, SPECIAL   1650MM",METER  ,P CUL SPEC   1650,
M542S080,"PIPE CULVERTS, SPECIAL   1800MM",METER  ,P CUL SPEC   1800,
M542S085,"PIPE CULVERTS, SPECIAL   1950MM",METER  ,P CUL SPEC   1950,
M542S090,"PIPE CULVERTS, SPECIAL   2100MM",METER  ,P CUL SPEC   2100,
M542S095,"PIPE CULVERTS, SPECIAL   2250MM",METER  ,P CUL SPEC   2250,
M542S100,"PIPE CULVERTS, SPECIAL   2400MM",METER  ,P CUL SPEC   2400,
M542S105,"PIPE CULVERTS, SPECIAL   2550MM",METER  ,P CUL SPEC   2550,
M542S110,"PIPE CULVERTS, SPECIAL   2700MM",METER  ,P CUL SPEC   2700,
M542T006,"PIPE CULVERTS, CLASS A, TYPE 1    200MM (TEMPORARY)",METER  ,P CUL CL A 1  200 TEM,
M542T010,"PIPE CULVERTS, CLASS A, TYPE 1    250MM (TEMPORARY)",METER  ,P CUL CL A 1  250 TEM,
M542T016,"PIPE CULVERTS, CLASS A, TYPE 1    300MM (TEMPORARY)",METER  ,P CUL CL A 1  300 TEM,
M542T020,"PIPE CULVERTS, CLASS A, TYPE 1    375MM (TEMPORARY)",METER  ,P CUL CL A 1  375 TEM,
M542T025,"PIPE CULVERTS, CLASS A, TYPE 1    450MM (TEMPORARY)",METER  ,P CUL CL A 1  450 TEM,
M542T030,"PIPE CULVERTS, CLASS A, TYPE 1    525MM (TEMPORARY)",METER  ,P CUL CL A 1  525 TEM,
M542T035,"PIPE CULVERTS, CLASS A, TYPE 1    600MM (TEMPORARY)",METER  ,P CUL CL A 1  600 TEM,
M542T040,"PIPE CULVERTS, CLASS A, TYPE 1    750MM (TEMPORARY)",METER  ,P CUL CL A 1  750 TEM,
M542T045,"PIPE CULVERTS, CLASS A, TYPE 1    900MM (TEMPORARY)",METER  ,P CUL CL A 1  900 TEM,
M542T050,"PIPE CULVERTS, CLASS A, TYPE 1   1050MM (TEMPORARY)",METER  ,P CUL CL A 1 1050 TEM,
M542T055,"PIPE CULVERTS, CLASS A, TYPE 1   1200MM (TEMPORARY)",METER  ,P CUL CL A 1 1200 TEM,
M542T060,"PIPE CULVERTS, CLASS A, TYPE 1   1350MM (TEMPORARY)",METER  ,P CUL CL A 1 1350 TEM,
M542T065,"PIPE CULVERTS, CLASS A, TYPE 1   1500MM (TEMPORARY)",METER  ,P CUL CL A 1 1500 TEM,
M542T070,"PIPE CULVERTS, CLASS A, TYPE 1   1650MM (TEMPORARY)",METER  ,P CUL CL A 1 1650 TEM,
M542T075,"PIPE CULVERTS, CLASS A, TYPE 1   1800MM (TEMPORARY)",METER  ,P CUL CL A 1 1800 TEM,
M542T080,"PIPE CULVERTS, CLASS A, TYPE 1   1950MM (TEMPORARY)",METER  ,P CUL CL A 1 1950 TEM,
M542T085,"PIPE CULVERTS, CLASS A, TYPE 1   2100MM (TEMPORARY)",METER  ,P CUL CL A 1 2100 TEM,
M542T090,"PIPE CULVERTS, CLASS A, TYPE 1   2250MM (TEMPORARY)",METER  ,P CUL CL A 1 2250 TEM,
M542T095,"PIPE CULVERTS, CLASS A, TYPE 1   2400MM (TEMPORARY)",METER  ,P CUL CL A 1 2400 TEM,
M542T100,"PIPE CULVERTS, CLASS A, TYPE 1   2550MM (TEMPORARY)",METER  ,P CUL CL A 1 2550 TEM,
M542T105,"PIPE CULVERTS, CLASS A, TYPE 1   2700MM (TEMPORARY)",METER  ,P CUL CL A 1 2700 TEM,
M542T205,"PIPE CULVERTS, CLASS C, TYPE 1    200MM (TEMPORARY)",METER  ,P CUL CL C 1  200 TEM,
M542T210,"PIPE CULVERTS, CLASS C, TYPE 1    250MM (TEMPORARY)",METER  ,P CUL CL C 1  250 TEM,
M542T215,"PIPE CULVERTS, CLASS C, TYPE 1    300MM (TEMPORARY)",METER  ,P CUL CL C 1  300 TEM,
M542T220,"PIPE CULVERTS, CLASS C, TYPE 1    375MM (TEMPORARY)",METER  ,P CUL CL C 1  375 TEM,
M542T225,"PIPE CULVERTS, CLASS C, TYPE 1    450MM (TEMPORARY)",METER  ,P CUL CL C 1  450 TEM,
M542T230,"PIPE CULVERTS, CLASS C, TYPE 1    525MM (TEMPORARY)",METER  ,P CUL CL C 1  525 TEM,
M542T235,"PIPE CULVERTS, CLASS C, TYPE 1    600MM (TEMPORARY)",METER  ,P CUL CL C 1  600 TEM,
M542T240,"PIPE CULVERTS, CLASS C, TYPE 1    750MM (TEMPORARY)",METER  ,P CUL CL C 1  750 TEM,
M542T245,"PIPE CULVERTS, CLASS C, TYPE 1    900MM (TEMPORARY)",METER  ,P CUL CL C 1  900 TEM,
M542T250,"PIPE CULVERTS, CLASS C, TYPE 1   1050MM (TEMPORARY)",METER  ,P CUL CL C 1 1050 TEM,
M542T255,"PIPE CULVERTS, CLASS C, TYPE 1   1200MM (TEMPORARY)",METER  ,P CUL CL C 1 1200 TEM,
M542T260,"PIPE CULVERTS, CLASS C, TYPE 1   1350MM (TEMPORARY)",METER  ,P CUL CL C 1 1350 TEM,
M542T265,"PIPE CULVERTS, CLASS C, TYPE 1   1500MM (TEMPORARY)",METER  ,P CUL CL C 1 1500 TEM,
M542T270,"PIPE CULVERTS, CLASS C, TYPE 1   1650MM (TEMPORARY)",METER  ,P CUL CL C 1 1650 TEM,
M542T275,"PIPE CULVERTS, CLASS C, TYPE 1   1800MM (TEMPORARY)",METER  ,P CUL CL C 1 1800 TEM,
M542T280,"PIPE CULVERTS, CLASS C, TYPE 1   1950MM (TEMPORARY)",METER  ,P CUL CL C 1 1950 TEM,
M542T285,"PIPE CULVERTS, CLASS C, TYPE 1   2100MM (TEMPORARY)",METER  ,P CUL CL C 1 2100 TEM,
M542T290,"PIPE CULVERTS, CLASS C, TYPE 1   2250MM (TEMPORARY)",METER  ,P CUL CL C 1 2250 TEM,
M542T295,"PIPE CULVERTS, CLASS C, TYPE 1   2400MM (TEMPORARY)",METER  ,P CUL CL C 1 2400 TEM,
M542T300,"PIPE CULVERTS, CLASS C, TYPE 1   2550MM (TEMPORARY)",METER  ,P CUL CL C 1 2550 TEM,
M542T305,"PIPE CULVERTS, CLASS C, TYPE 1   2700MM (TEMPORARY)",METER  ,P CUL CL C 1 2700 TEM,
M542T405,"PIPE CULVERTS, CLASS D, TYPE 1    200MM (TEMPORARY)",METER  ,P CUL CL D 1  200 TEM,
M542T410,"PIPE CULVERTS, CLASS D, TYPE 1    250MM (TEMPORARY)",METER  ,P CUL CL D 1  250 TEM,
M542T415,"PIPE CULVERTS, CLASS D, TYPE 1    300MM (TEMPORARY)",METER  ,P CUL CL D 1  300 TEM,
M542T420,"PIPE CULVERTS, CLASS D, TYPE 1    375MM (TEMPORARY)",METER  ,P CUL CL D 1  375 TEM,
M542T425,"PIPE CULVERTS, CLASS D, TYPE 1    450MM (TEMPORARY)",METER  ,P CUL CL D 1  450 TEM,
M542T430,"PIPE CULVERTS, CLASS D, TYPE 1    525MM (TEMPORARY)",METER  ,P CUL CL D 1  525 TEM,
